order_id,order_date,customer_name,customer_email,customer_phone,state,platform,category,product_name,unit_price,quantity,discount_pct,total_amount,payment_method,customer_age,customer_gender,customer_segment,rating,delivery_days,returned
ORD-100000,2023-01-01,Customer_15,customer0@example.com,,Rivers,Konga,Sports,Yoga Mat Non-Slip,91292.33,4,15,310393.92,POS,64,Female,Premium,,11,False
ORD-100001,2023-01-02,Customer_28,customer1@example.com,08076317456,Imo,Jiji,Books,ACCA F3 Textbook,2311.49,5,5,10979.58,USSD,,Male,Premium,,1,False
ORD-100002,03/01/2023,Customer_4,customer2@example.com,08073801590,Kaduna,Jiji,Furniture,Glass Centre Table,279828.64,1,0,279828.64,Card,49,Female,New,3,2,False
ORD-100003,2023-01-04,Customer_36,customer3@example.com,08094850555,Imo,Jumia,Sports,Nigeria Football Jersey,47322.12,2,10,85179.82,USSD,21,Female,VIP,4,7,False
ORD-100004,2023-01-05,Customer_65,customer4@example.com,08041394931,Abuja,Jiji,Groceries,Titus Sardine 50pcs,3927.5,4,5,14924.5,Pay on Delivery,61,Male,Regular,1,1,False
ORD-100005,2023-01-07,Customer_98,customer5@example.com,08091040005,Delta,WhatsApp Commerce,Beauty,Nivea Fair & Lovely,15415.78,4,20,-999,Bank Transfer,21,Female,Regular,4,1,False
ORD-100006,2023-01-08,,customer6@example.com,08004880707,Delta,Konga,Furniture,Wardrobe 4-Door,263586.97,1,15,224048.92,POS,49,Female,VIP,5,1,False
ORD-100007,2023-01-09,Customer_81,customer7@example.com,08075808099,Kaduna,Flutterwave Store,Furniture,L-Shape Office Sofa,281433.8,5,10,1266452.1,POS,16,Female,VIP,2,8,True
ORD-100008,2023-01-10,Customer_39,customer8@example.com,08021187030,Unknwon,Flutterwave Store,Sports,Treadmill Manual,59903.83,3,0,179711.49,Pay on Delivery,25,Female,Regular,1,4,False
ORD-100009,2023-01-11,Customer_38,customer9@example.com,08012813014,Lagos,Jiji,Fashion,Ankara Midi Dress,19880.6,3,15,50695.53,Pay on Delivery,36,Female,VIP,3,4,True
ORD-100010,2023-01-13,Customer_44,notanemail,0714046464,Abuja,Konga,Groceries,Indomie Noodles Carton,6289.11,4,0,25156.44,Pay on Delivery,20,Male,New,5,13,True
ORD-100011,2023-01-14,  Customer_51  ,customer11@example.com,08050825998,Unknwon,WhatsApp Commerce,Sports,Nigeria Football Jersey,4427.76,3,5,12619.12,Card,17,Female,VIP,2,2,False
ORD-100012,2023-01-15,Customer_97,customer12@example.com,08049633683,Oyo,Flutterwave Store,Groceries,Golden Penny Rice 25kg,4988.32,1,20,3990.66,Bank Transfer,37,Male,New,4,11,True
ORD-100013,2023-01-16,Customer_85,customer13@example.com,08056028554,Lagos,WhatsApp Commerce,Groceries,Golden Penny Rice 25kg,4741.31,4,0,18965.24,Card,63,Female,New,2,11,False
ORD-100014,2023-01-18,Customer_26,customer14@example.com,08002349832,Abuja,WhatsApp Commerce,Beauty,Maybelline Mascara,18131.53,4,20,58020.9,Pay on Delivery,17,Male,VIP,5,11,False
ORD-100015,2023-01-19,Customer_36,customer15@example.com,08095697034,Delta,Flutterwave Store,Furniture,L-Shape Office Sofa,309538.95,2,0,619077.9,Bank Transfer,25,Male,Premium,5,1,False
ORD-100016,2023-01-20,Customer_69,customer16@example.com,08075481979,,Flutterwave Store,Books,Nigerian Law Reports,10129.43,3,10,27349.46,Pay on Delivery,49,Male,Premium,2,12,False
ORD-100017,2023-01-21,Customer_97,customer17@example.com,08067232682,Rivers,Jiji,Beauty,Neutrogena Body Lotion,24009.61,5,0,120048.05,Bank Transfer,31,Female,New,4,10,True
ORD-100018,2023-01-22,Customer_1,notanemail,08051611100,Lagos,Konga,Beauty,MAC Foundation,9089.09,4,0,36356.36,POS,63,Male,VIP,2,9,True
ORD-100019,2023-01-24,Customer_53,customer19@example.com,08020950810,Oyo,Jumia,Groceries,Titus Sardine 50pcs,2205.13,5,0,11025.65,Card,54,Female,New,5,7,False
ORD-100020,2023-01-25,Customer_6,customer20@example.com,08054332976,Rivers,Konga,Phones & Tablets,Infinix Hot 40 Pro,359051.6,1,0,359051.6,Pay on Delivery,37,Female,VIP,5,4,False
ORD-100021,2023-01-26,Customer_37,customer21@example.com,08069360424,Enugu,Jumia,Furniture,L-Shape Office Sofa,161766.57,2,0,323533.14,Pay on Delivery,27,Male,VIP,3,12,False
ORD-100022,2023-01-27,Customer_2,customer22@example.com,08032097439,Kano,Flutterwave Store,Fashion,Men Agbada Set,28635.39,1,15,24340.08,USSD,39,Male,Regular,3,6,False
ORD-100023,2023-01-29,Customer_69,customer23@example.com,08024302997,Imo,WhatsApp Commerce,Beauty,Neutrogena Body Lotion,22866.83,5,0,114334.15,POS,62,Female,Premium,1,2,True
ORD-100024,2023-01-30,Customer_90,customer24@example.com,,Lagos,Konga,Books,JAMB CBT Practice Book,2702.45,4,0,,Pay on Delivery,55,Female,Premium,5,7,False
ORD-100025,2023-01-31,  CUSTOMER_41  ,customer25@example.com,08003993010,Imo,WhatsApp Commerce,Phones & Tablets,Infinix Hot 40 Pro,112107.87,1,10,100897.08,Card,53,Female,Regular,3,2,False
ORD-100026,2023-02-01,,,0817334806,Oyo,Konga,Phones & Tablets,Xiaomi Redmi Note 13,230851.88,2,20,369363.01,POS,25,Male,Regular,2,10,False
ORD-100027,2023-02-02,Customer_47,customer27@example.com,08092578620,,Konga,Fashion,Female Gele Headtie,33359.06,1,20,26687.25,Pay on Delivery,50,Female,Regular,4,8,False
ORD-100028,2023-02-04,Customer_13,customer28@example.com,08020508050,Oyo,WhatsApp Commerce,Beauty,Neutrogena Body Lotion,15149.7,1,0,15149.7,Card,64,Female,New,2,8,False
ORD-100029,2023-02-05,Customer_76,customer29@example.com,08056004580,Anambra,Jiji,Books,Nigerian Law Reports,2303.9,2,20,3686.24,USSD,47,Female,New,4,1,False
