order_id,order_date,customer_name,customer_email,customer_phone,state,platform,category,product_name,unit_price,quantity,discount_pct,total_amount,payment_method,customer_age,customer_gender,customer_segment,rating,delivery_days,returned,customer_phone_clean,total_recalc,order_year,order_month,order_monthname,order_quarter,age_group,is_high_value,discount_tier
ORD-100000,2023-01-01,Customer_15,customer0@example.com,0000000000,Rivers,Konga,Sports,Yoga Mat Non-Slip,91292.33,4,15,310393.92,Pos,64.0,Female,Premium,3.0,11.0,False,INVALID,310393.922,2023,1,January,Q1,56-65,True,15-19%
ORD-100001,2023-02-01,Customer_28,customer1@example.com,8076317456.0,Imo,Jiji,Books,Acca F3 Textbook,2311.49,5,5,10979.58,Ussd,41.5,Male,Premium,3.0,1.0,False,INVALID,10979.577499999998,2023,2,February,Q1,36-45,False,0-9%
ORD-100002,2023-01-01,Customer_4,customer2@example.com,8073801590.0,Kaduna,Jiji,Furniture,Glass Centre Table,279828.64,1,0,279828.64,Card,49.0,Female,New,3.0,2.0,False,INVALID,279828.64,2023,1,January,Q1,46-55,True,No Discount
ORD-100003,2023-04-01,Customer_36,customer3@example.com,8094850555.0,Imo,Jumia,Sports,Nigeria Football Jersey,47322.12,2,10,85179.82,Ussd,21.0,Female,Vip,4.0,7.0,False,INVALID,85179.816,2023,4,April,Q2,18-25,True,10-14%
ORD-100004,2023-05-01,Customer_65,customer4@example.com,8041394931.0,Abuja,Jiji,Groceries,Titus Sardine 50Pcs,3927.5,4,5,14924.5,Pay On Delivery,61.0,Male,Regular,1.0,1.0,False,INVALID,14924.5,2023,5,May,Q2,56-65,False,0-9%
ORD-100005,2023-07-01,Customer_98,customer5@example.com,8091040005.0,Delta,Whatsapp Commerce,Beauty,Nivea Fair & Lovely,15415.78,4,20,64540.42,Bank Transfer,21.0,Female,Regular,4.0,1.0,False,INVALID,49330.49600000001,2023,7,July,Q3,18-25,False,20%+
ORD-100006,2023-08-01,Unknown Customer,customer6@example.com,8004880707.0,Delta,Konga,Furniture,Wardrobe 4-Door,263586.97,1,15,224048.92,Pos,49.0,Female,Vip,5.0,1.0,False,INVALID,224048.92449999996,2023,8,August,Q3,46-55,True,15-19%
ORD-100007,2023-09-01,Customer_81,customer7@example.com,8075808099.0,Kaduna,Flutterwave Store,Furniture,L-Shape Office Sofa,281433.8,5,10,1266452.1,Pos,16.0,Female,Vip,2.0,8.0,True,INVALID,1266452.1,2023,9,September,Q3,Under 18,True,10-14%
ORD-100008,2023-10-01,Customer_39,customer8@example.com,8021187030.0,Delta,Flutterwave Store,Sports,Treadmill Manual,59903.83,3,0,179711.49,Pay On Delivery,25.0,Female,Regular,1.0,4.0,False,INVALID,179711.49,2023,10,October,Q4,18-25,True,No Discount
ORD-100009,2023-11-01,Customer_38,customer9@example.com,8012813014.0,Lagos,Jiji,Fashion,Ankara Midi Dress,19880.6,3,15,50695.53,Pay On Delivery,36.0,Female,Vip,3.0,4.0,True,INVALID,50695.52999999999,2023,11,November,Q4,36-45,False,15-19%
ORD-100010,2023-01-01,Customer_44,notanemail,714046464.0,Abuja,Konga,Groceries,Indomie Noodles Carton,6289.11,4,0,25156.44,Pay On Delivery,20.0,Male,New,5.0,13.0,True,INVALID,25156.44,2023,1,January,Q1,18-25,False,No Discount
ORD-100011,2023-01-01,Customer_51,customer11@example.com,8050825998.0,Delta,Whatsapp Commerce,Sports,Nigeria Football Jersey,4427.76,3,5,12619.12,Card,17.0,Female,Vip,2.0,2.0,False,INVALID,12619.116,2023,1,January,Q1,Under 18,False,0-9%
ORD-100012,2023-01-01,Customer_97,customer12@example.com,8049633683.0,Oyo,Flutterwave Store,Groceries,Golden Penny Rice 25Kg,4988.32,1,20,3990.66,Bank Transfer,37.0,Male,New,4.0,11.0,True,INVALID,3990.656,2023,1,January,Q1,36-45,False,20%+
ORD-100013,2023-01-01,Customer_85,customer13@example.com,8056028554.0,Lagos,Whatsapp Commerce,Groceries,Golden Penny Rice 25Kg,4741.31,4,0,18965.24,Card,63.0,Female,New,2.0,11.0,False,INVALID,18965.24,2023,1,January,Q1,56-65,False,No Discount
ORD-100014,2023-01-01,Customer_26,customer14@example.com,8002349832.0,Abuja,Whatsapp Commerce,Beauty,Maybelline Mascara,18131.53,4,20,58020.9,Pay On Delivery,17.0,Male,Vip,5.0,11.0,False,INVALID,58020.896,2023,1,January,Q1,Under 18,False,20%+
ORD-100015,2023-01-01,Customer_36,customer15@example.com,8095697034.0,Delta,Flutterwave Store,Furniture,L-Shape Office Sofa,309538.95,2,0,619077.9,Bank Transfer,25.0,Male,Premium,5.0,1.0,False,INVALID,619077.9,2023,1,January,Q1,18-25,True,No Discount
ORD-100016,2023-01-01,Customer_69,customer16@example.com,8075481979.0,Delta,Flutterwave Store,Books,Nigerian Law Reports,10129.43,3,10,27349.46,Pay On Delivery,49.0,Male,Premium,2.0,12.0,False,INVALID,27349.461000000003,2023,1,January,Q1,46-55,False,10-14%
ORD-100017,2023-01-01,Customer_97,customer17@example.com,8067232682.0,Rivers,Jiji,Beauty,Neutrogena Body Lotion,24009.61,5,0,120048.05,Bank Transfer,31.0,Female,New,4.0,10.0,True,INVALID,120048.05,2023,1,January,Q1,26-35,True,No Discount
ORD-100018,2023-01-01,Customer_1,notanemail,8051611100.0,Lagos,Konga,Beauty,Mac Foundation,9089.09,4,0,36356.36,Pos,63.0,Male,Vip,2.0,9.0,True,INVALID,36356.36,2023,1,January,Q1,56-65,False,No Discount
ORD-100019,2023-01-01,Customer_53,customer19@example.com,8020950810.0,Oyo,Jumia,Groceries,Titus Sardine 50Pcs,2205.13,5,0,11025.65,Card,54.0,Female,New,5.0,7.0,False,INVALID,11025.650000000001,2023,1,January,Q1,46-55,False,No Discount
ORD-100020,2023-01-01,Customer_6,customer20@example.com,8054332976.0,Rivers,Konga,Phones & Tablets,Infinix Hot 40 Pro,359051.6,1,0,359051.6,Pay On Delivery,37.0,Female,Vip,5.0,4.0,False,INVALID,359051.6,2023,1,January,Q1,36-45,True,No Discount
ORD-100021,2023-01-01,Customer_37,customer21@example.com,8069360424.0,Enugu,Jumia,Furniture,L-Shape Office Sofa,161766.57,2,0,323533.14,Pay On Delivery,27.0,Male,Vip,3.0,12.0,False,INVALID,323533.14,2023,1,January,Q1,26-35,True,No Discount
ORD-100022,2023-01-01,Customer_2,customer22@example.com,8032097439.0,Kano,Flutterwave Store,Fashion,Men Agbada Set,28635.39,1,15,24340.08,Ussd,39.0,Male,Regular,3.0,6.0,False,INVALID,24340.0815,2023,1,January,Q1,36-45,False,15-19%
ORD-100023,2023-01-01,Customer_69,customer23@example.com,8024302997.0,Imo,Whatsapp Commerce,Beauty,Neutrogena Body Lotion,22866.83,5,0,114334.15,Pos,62.0,Female,Premium,1.0,2.0,True,INVALID,114334.15000000001,2023,1,January,Q1,56-65,True,No Discount
ORD-100024,2023-01-01,Customer_90,customer24@example.com,0000000000,Lagos,Konga,Books,Jamb Cbt Practice Book,2702.45,4,0,64540.42,Pay On Delivery,55.0,Female,Premium,5.0,7.0,False,INVALID,10809.8,2023,1,January,Q1,46-55,False,No Discount
ORD-100025,2023-01-01,Customer_41,customer25@example.com,8003993010.0,Imo,Whatsapp Commerce,Phones & Tablets,Infinix Hot 40 Pro,112107.87,1,10,100897.08,Card,53.0,Female,Regular,3.0,2.0,False,INVALID,100897.083,2023,1,January,Q1,46-55,True,10-14%
ORD-100026,2023-01-02,Unknown Customer,no-email@placeholder.ng,817334806.0,Oyo,Konga,Phones & Tablets,Xiaomi Redmi Note 13,230851.88,2,20,369363.01,Pos,25.0,Male,Regular,2.0,10.0,False,INVALID,369363.00800000003,2023,1,January,Q1,18-25,True,20%+
ORD-100027,2023-02-02,Customer_47,customer27@example.com,8092578620.0,Delta,Konga,Fashion,Female Gele Headtie,33359.06,1,20,26687.25,Pay On Delivery,50.0,Female,Regular,4.0,8.0,False,INVALID,26687.248,2023,2,February,Q1,46-55,False,20%+
ORD-100028,2023-04-02,Customer_13,customer28@example.com,8020508050.0,Oyo,Whatsapp Commerce,Beauty,Neutrogena Body Lotion,15149.7,1,0,15149.7,Card,64.0,Female,New,2.0,8.0,False,INVALID,15149.7,2023,4,April,Q2,56-65,False,No Discount
ORD-100029,2023-05-02,Customer_76,customer29@example.com,8056004580.0,Anambra,Jiji,Books,Nigerian Law Reports,2303.9,2,20,3686.24,Ussd,47.0,Female,New,4.0,1.0,False,INVALID,3686.2400000000002,2023,5,May,Q2,46-55,False,20%+
ORD-100030,2023-06-02,Customer_69,customer30@example.com,8079821310.0,Oyo,Flutterwave Store,Furniture,Computer Work Desk,461406.5,1,0,461406.5,Ussd,41.5,Female,New,3.0,13.0,False,INVALID,461406.5,2023,6,June,Q2,36-45,True,No Discount
ORD-100031,2023-07-02,Unknown Customer,customer31@example.com,8001074726.0,Abuja,Jiji,Electronics,Scanfrost Refrigerator,279678.35,2,0,559356.7,Card,36.0,Female,New,1.0,8.0,False,INVALID,559356.7,2023,7,July,Q3,36-45,True,No Discount
ORD-100032,2023-08-02,Customer_59,customer32@example.com,8061746040.0,Abuja,Jiji,Books,Ican Study Pack,1448.64,3,0,4345.92,Pos,35.0,Female,New,2.0,2.0,False,INVALID,4345.92,2023,8,August,Q3,26-35,False,No Discount
ORD-100033,2023-10-02,Customer_68,customer33@example.com,8031408451.0,Imo,Konga,Fashion,Men Senator Native,30183.11,3,10,81494.4,Card,41.0,Female,Premium,2.0,6.0,False,INVALID,81494.397,2023,10,October,Q4,36-45,True,10-14%
ORD-100034,2023-11-02,Customer_59,customer34@example.com,8003659007.0,Anambra,Flutterwave Store,Phones & Tablets,Tecno Spark 20 Pro,625003.7,5,0,3125018.5,Card,19.0,Female,Premium,2.0,13.0,True,INVALID,3125018.5,2023,11,November,Q4,18-25,True,No Discount
ORD-100035,2023-12-02,Customer_91,missing@,8067961390.0,Oyo,Konga,Furniture,Glass Centre Table,202856.8,1,5,192713.96,Ussd,61.0,Female,Vip,4.0,1.0,False,INVALID,192713.96,2023,12,December,Q4,56-65,True,0-9%
ORD-100036,2023-01-01,Customer_10,customer36@example.com,8022989271.0,Enugu,Jumia,Books,Nigerian Law Reports,1944.35,2,15,3305.4,Ussd,37.0,Female,Premium,3.0,5.0,False,INVALID,3305.395,2023,1,January,Q1,36-45,False,15-19%
ORD-100037,2023-01-01,Customer_13,customer37@example.com,8001781642.0,Imo,Konga,Electronics,Samsung Smart Tv,40902.56,2,15,69534.35,Ussd,30.0,Female,Regular,2.0,11.0,False,INVALID,69534.352,2023,1,January,Q1,26-35,True,15-19%
ORD-100038,2023-01-01,Unknown Customer,customer38@example.com,0000000000,Rivers,Whatsapp Commerce,Electronics,Scanfrost Refrigerator,49922.73,3,0,149768.19,Pay On Delivery,55.0,Female,Premium,2.0,7.0,False,INVALID,149768.19,2023,1,January,Q1,46-55,True,No Discount
ORD-100039,2023-01-01,Customer_90,customer39@example.com,8001239895.0,Abuja,Konga,Groceries,Honeywell Flour 10Kg,6803.3,5,20,27213.2,Pay On Delivery,41.5,Male,Regular,1.0,13.0,False,INVALID,27213.2,2023,1,January,Q1,36-45,False,20%+
ORD-100040,2023-01-01,Customer_15,customer40@example.com,8053326219.0,Delta,Jumia,Groceries,Titus Sardine 50Pcs,7330.15,5,5,34818.21,Bank Transfer,30.0,Female,Premium,1.0,10.0,False,INVALID,34818.2125,2023,1,January,Q1,26-35,False,0-9%
ORD-100041,2023-01-01,Customer_46,customer41@example.com,8070480359.0,Rivers,Konga,Sports,Adidas Running Sneakers,17368.86,5,0,86844.3,Pay On Delivery,41.5,Female,New,3.0,1.0,False,INVALID,86844.3,2023,1,January,Q1,36-45,True,No Discount
ORD-100042,2023-01-01,Customer_57,customer42@example.com,8046067785.0,Anambra,Jumia,Fashion,Men Senator Native,12526.01,2,5,23799.42,Pos,43.0,Female,Premium,3.0,2.0,False,INVALID,23799.418999999998,2023,1,January,Q1,36-45,False,0-9%
ORD-100043,2023-01-01,Customer_10,customer43@example.com,8023370933.0,Imo,Flutterwave Store,Beauty,Maybelline Mascara,4805.6,1,5,4565.32,Pos,29.0,Female,Vip,5.0,7.0,False,INVALID,4565.32,2023,1,January,Q1,26-35,False,0-9%
ORD-100044,2023-01-01,Customer_22,customer44@example.com,8045888087.0,Delta,Konga,Books,Acca F3 Textbook,3212.27,2,20,5139.63,Ussd,42.0,Female,New,1.0,6.0,False,INVALID,5139.6320000000005,2023,1,January,Q1,36-45,False,20%+
ORD-100045,2023-01-01,Customer_89,customer45@example.com,897763876.0,Imo,Jumia,Books,Jamb Cbt Practice Book,10244.9,4,0,40979.6,Card,56.0,Male,New,5.0,3.0,False,INVALID,40979.6,2023,1,January,Q1,56-65,False,No Discount
ORD-100046,2023-01-01,Customer_79,customer46@example.com,8057298946.0,Delta,Flutterwave Store,Beauty,Nivea Fair & Lovely,8837.94,4,10,31816.58,Ussd,55.0,Female,Vip,4.0,10.0,False,INVALID,31816.584000000003,2023,1,January,Q1,46-55,False,10-14%
ORD-100047,2023-01-01,Customer_77,customer47@example.com,8011401865.0,Oyo,Whatsapp Commerce,Sports,Yoga Mat Non-Slip,39438.98,1,20,31551.18,Card,43.0,Male,Premium,5.0,2.0,False,INVALID,31551.184000000005,2023,1,January,Q1,36-45,False,20%+
ORD-100048,2023-01-01,Customer_8,customer48@example.com,8048553048.0,Delta,Jiji,Phones & Tablets,Iphone 15 128Gb,208957.65,3,5,595529.3,Ussd,41.0,Female,Premium,2.0,10.0,False,INVALID,595529.3024999999,2023,1,January,Q1,36-45,True,0-9%
ORD-100049,2023-01-03,Customer_21,customer49@example.com,8048220851.0,Lagos,Jumia,Phones & Tablets,Infinix Hot 40 Pro,500039.21,1,5,475037.25,Ussd,64.0,Male,Vip,5.0,4.0,False,INVALID,475037.2495,2023,1,January,Q1,56-65,True,0-9%
ORD-100050,2023-01-01,Customer_85,customer50@example.com,8081163071.0,Oyo,Whatsapp Commerce,Sports,Yoga Mat Non-Slip,47378.77,2,10,85281.79,Pos,17.0,Male,New,3.0,3.0,False,INVALID,85281.786,2023,1,January,Q1,Under 18,True,10-14%
ORD-100051,2023-04-03,Customer_22,customer51@example.com,8026616598.0,Delta,Flutterwave Store,Phones & Tablets,Tecno Spark 20 Pro,604350.98,4,5,2296533.72,Card,40.0,Female,Vip,4.0,7.0,False,INVALID,2296533.724,2023,4,April,Q2,36-45,True,0-9%
ORD-100052,2023-05-03,Customer_97,customer52@example.com,848020375.0,Enugu,Whatsapp Commerce,Groceries,Golden Penny Rice 25Kg,2041.85,1,5,1939.76,Bank Transfer,18.0,Male,Regular,2.0,8.0,False,INVALID,1939.7575,2023,5,May,Q2,18-25,False,0-9%
ORD-100053,2023-06-03,Customer_45,customer53@example.com,8017145700.0,Rivers,Konga,Books,Nigerian Law Reports,9708.13,1,5,9222.72,Bank Transfer,23.0,Male,Regular,5.0,2.0,False,INVALID,9222.723499999998,2023,6,June,Q2,18-25,False,0-9%
ORD-100054,2023-07-03,Customer_91,customer54@example.com,8086674408.0,Oyo,Jiji,Sports,Nigeria Football Jersey,73635.42,3,15,187770.32,Ussd,59.0,Female,Premium,4.0,10.0,False,INVALID,187770.321,2023,7,July,Q3,56-65,True,15-19%
ORD-100055,2023-09-03,Customer_40,customer55@example.com,8024194717.0,Rivers,Jumia,Books,Jamb Cbt Practice Book,2434.09,2,20,3894.54,Ussd,48.0,Male,New,4.0,7.0,True,INVALID,3894.5440000000003,2023,9,September,Q3,46-55,False,20%+
ORD-100056,2023-10-03,Customer_22,customer56@example.com,8090406722.0,Kaduna,Flutterwave Store,Beauty,Mac Foundation,10831.01,2,0,21662.02,Pos,57.0,Male,Regular,2.0,8.0,False,INVALID,21662.02,2023,10,October,Q4,56-65,False,No Discount
ORD-100057,2023-11-03,Customer_30,customer57@example.com,815169501.0,Imo,Jiji,Electronics,Lg Air Conditioner,304278.58,2,20,486845.73,Card,41.5,Male,Vip,5.0,6.0,False,INVALID,486845.72800000006,2023,11,November,Q4,36-45,True,20%+
ORD-100058,2023-12-03,Customer_62,customer58@example.com,8082230829.0,Delta,Flutterwave Store,Groceries,Golden Penny Rice 25Kg,7422.2,1,10,6679.98,Ussd,21.0,Female,Premium,4.0,6.0,False,INVALID,6679.98,2023,12,December,Q4,18-25,False,10-14%
